,column,non_empty_percent,unique_percent,inferred_type
0,id,100.0,100.0,numeric
8,Критичность,100.0,0.003,categorical
11,Тип инцидента,100.0,0.038,categorical
13,Фаза реагирования,100.0,0.003,categorical
3,Группа устранения_name,100.0,0.002,categorical
9,Пиктограмма IRP,99.997,0.005,categorical
10,Источник инцидента,99.997,0.003,categorical
4,Ответственный_lastName,95.81,0.015,categorical
5,Ответственный_firstName,95.81,0.01,categorical
6,Ответственный_middleName,95.807,0.01,categorical
2,Организация_address,88.451,0.001,categorical
1,Организация,88.451,0.001,categorical
7,Вердикт,70.377,0.005,categorical
24,Принятые меры,20.285,99.987,text
23,Комментарий,20.265,21.919,mixed
32,Легитимность действия,17.861,0.003,categorical
72,Наименование,17.833,0.525,categorical
78,задержка перед автоназначением,17.819,65.179,numeric
33,Дата закрытия (факт),17.816,99.97,datetime
38,Время решения,17.815,99.994,numeric
82,Алиас инцидента в источнике,17.813,99.775,text
80,ID инцидента в источнике,17.813,99.775,text
75,Дата изменения в источнике,17.813,78.967,datetime
74,Дата создания в источнике,17.813,79.602,datetime
86,Статус инцидента из SIEM,17.813,0.003,categorical
71,Конвейер SIEM,17.813,0.006,categorical
84,Правило корреляции SIEM,17.813,0.52,categorical
40,Время Решения,17.775,53.014,time
20,Спам,17.646,0.006,categorical
83,Значение Инцидента (группировка),17.351,45.253,ip/dns
73,Значение Инцидента (группировка по типу),15.901,0.568,categorical
12,Теги,15.052,0.079,categorical
31,Информация о вовлеченных активах,14.878,60.581,ip/dns
41,Пауза,14.858,0.007,categorical
44,Начало паузы,14.858,99.993,text
43,Время на паузе,14.858,0.412,categorical
42,Конец паузы,14.858,99.996,text
45,Проверенный статус инца,14.692,0.015,categorical
55,Описание инцидента,14.613,30.041,mixed
57,Hostname Цели,14.468,11.292,ip/dns
34,Вендор из сием,14.167,0.05,categorical
61,categoryLow,13.96,0.923,categorical
56,Hostname атакующего,13.685,13.528,ip/dns
62,categoryMain,13.554,1.098,categorical
22,Решение,13.376,0.765,categorical
30,Открыт для редактирования,12.043,0.004,categorical
25,Дата закрытия,11.955,99.941,datetime
59,object,11.902,0.132,categorical
60,categoryHigh,11.225,0.656,categorical
90,Количество событий,10.879,0.328,categorical
77,Время последнего события,10.843,76.303,time
76,Время первого события,10.843,75.878,time
69,Команда,10.05,49.917,mixed
26,Ложное срабатывание,9.835,0.011,categorical
113,Рекомендации по плейбуку_text,9.741,0.05,categorical
114,Рекомендации по плейбуку_link,9.741,0.05,categorical
70,Цепочка процессов,8.12,53.479,text
21,Связывались с пользователем/эскалировали в ГИБ?,7.956,0.014,categorical
19,На мониторинг,7.943,0.014,categorical
18,Заблокировать,7.943,0.014,categorical
63,CMDLINE,7.666,49.287,mixed
94,object.name,7.405,18.671,mixed
89,Generic классификация прошла,6.825,0.008,categorical
58,suser,5.611,12.895,mixed
68,processPath,4.703,6.536,mixed
64,duser,4.624,14.149,mixed
65,objectLinks,4.435,43.143,mixed
88,objectValue,4.175,26.394,mixed
66,processName,3.981,2.352,categorical
67,processParentName,3.896,7.958,mixed
85,Ссылка в NAD (actual),3.795,98.189,text
92,processParentPath,3.707,16.499,mixed
47,dst,3.698,11.313,ip/dns
27,Дата взятия в работу,3.592,99.97,datetime
112,Id (ASAP),3.239,13.183,mixed
105,Скоринг,3.23,0.017,categorical
93,MITRE ATT&CK,3.106,0.07,categorical
110,Дата последнего изменения (ASAP),3.057,12.801,datetime
87,commandName,3.043,28.472,mixed
106,Полное имя,2.998,13.231,mixed
101,Период взятия в работу,2.974,0.018,categorical
107,Почта (ASAP),2.882,14.103,mixed
91,False Positive,2.68,0.02,categorical
109,Права администратора,2.372,0.046,categorical
108,Роль (ASAP),2.269,2.385,categorical
111,Рабочий телефон,2.268,11.695,mixed
16,Список вредоносных команд,2.049,1.241,categorical
17,Настройки решений,1.795,0.181,categorical
48,src,0.882,22.147,ip/dns
99,fileName,0.874,14.551,mixed
100,filePath,0.874,26.006,mixed
15,Типы угроз,0.353,1.072,categorical
37,Прошлый ответственный_middleName,0.292,2.407,categorical
35,Прошлый ответственный_lastName,0.292,2.963,categorical
36,Прошлый ответственный_firstName,0.292,2.407,categorical
79,IP для таблицы,0.274,94.862,text
81,IOC's,0.251,93.952,text
102,Привилегии аккаунта,0.23,21.647,mixed
95,Эскалировался на L2?,0.191,0.283,categorical
96,Дата эскалации на L2,0.191,100.0,datetime
97,Ответсвенный по РП,0.19,3.419,categorical
98,Дата взятия в работу L2,0.185,100.0,datetime
46,Принятые меры из SIEM,0.137,62.846,text
39,Дата закрытия L2 (факт),0.111,100.0,datetime
104,Количество объектов,0.057,0.943,categorical
103,bool связались,0.056,0.962,categorical
119,Классификация выполнена,0.052,1.031,categorical
118,Вложения,0.02,5.405,numeric
117,Адрес электронной почты отправителя,0.02,5.405,mixed
116,Тема письма,0.02,5.405,mixed
115,Дата получения письма,0.02,100.0,datetime
49,Получатель письма,0.004,75.0,text
50,Тема,0.004,100.0,text
51,Система,0.004,12.5,mixed
52,Шаблон для отправки_template,0.004,62.5,text
53,Шаблон для отправки_system,0.004,28.571,mixed
54,Шаблон для отправки_reason,0.004,62.5,text
122,Ошибки,0.003,60.0,text
120,Сырое событие,0.001,100.0,text
121,Выполнено первичное сдерживание,0.001,50.0,mixed
29,Настройки оповещений (Почта),0.0,0.0,empty
28,Настройки оповещений (Telegram),0.0,0.0,empty
14,Попытка эксплуатации,0.0,0.0,empty
